coll,merit,male,black,asian,year,state,chst,styr,eta,alpha,stch,stchid,ind,stnchid,stid
0.0,0.0,1.0,0.0,0.0,1993,11,0.0,12993.0,-0.38374782,0.033746496,0.0,,52.0,11.0,1.0
1.0,0.0,1.0,0.0,0.0,1997,11,0.0,12997.0,0.6272881,0.033746496,0.0,,52.0,11.0,1.0
1.0,0.0,0.0,0.0,0.0,1992,11,0.0,12992.0,0.547032,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,1989,11,0.0,12989.0,-0.36304483,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,1991,11,0.0,12991.0,-0.37211844,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,1999,11,0.0,12999.0,-0.36557516,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,1994,11,0.0,12994.0,-0.37936804,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,0.0,0.0,0.0,1989,11,0.0,12989.0,-0.4418913,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,0.0,0.0,0.0,1992,11,0.0,12992.0,-0.452968,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,1998,11,0.0,12998.0,-0.3877113,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,0.0,0.0,0.0,1997,11,0.0,12997.0,-0.45155832,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,0.0,0.0,0.0,1993,11,0.0,12993.0,-0.46259427,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,0.0,0.0,0.0,1999,11,0.0,12999.0,-0.44442162,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,2000,11,0.0,13000.0,-0.37537652,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,1994,11,0.0,12994.0,-0.37936804,0.033746496,0.0,,52.0,11.0,1.0
1.0,0.0,1.0,0.0,0.0,1995,11,0.0,12995.0,0.6398233,0.033746496,0.0,,52.0,11.0,1.0
0.0,0.0,1.0,0.0,0.0,1989,11,0.0,12989.0,-0.36304483,0.033746496,0.0,,52.0,11.0,1.0
